"id","news_source","rating","rating_num","type","agree","disagree","perc_agree","url","editorial_review","blind_survey","third_party_analysis","independent_research","confidence_level","twitter","wiki","facebook","screen_name"
"37","Barnstable Patriot","center",3,"News Media",431,502,0.461950696677385,"https://www.allsides.com/news-source/barnstable-patriot","0",0,0,0,"Low or Initial Rating",NA,"https://en.wikipedia.org/wiki/Barnstable_Patriot",NA,NA
"38","BBC News","center",3,"News Media",11212,10996,0.504863112391931,"https://www.allsides.com/news-source/bbc-news-media-bias","0",0,0,1,"Medium","https://twitter.com/bbcworld","https://en.wikipedia.org/wiki/BBC","https://www.facebook.com/bbcnews/","bbcworld"
"39","Bearing Drift","right",5,"News Media",527,453,0.537755102040816,"https://www.allsides.com/news-source/bearing-drift","0",0,0,1,"High",NA,NA,NA,NA
"40","Ben Sargent (cartoonist)","left",1,"Author",174,199,0.466487935656836,"https://www.allsides.com/news-source/ben-sargent-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"41","Ben Shapiro","right",5,"Author",1123,682,0.622160664819945,"https://www.allsides.com/news-source/ben-shapiro","0",0,0,1,NA,NA,NA,NA,NA
"42","Ben Stein","right-center",4,"Author",507,373,0.576136363636364,"https://www.allsides.com/news-source/ben-stein","checked",0,0,0,NA,NA,NA,NA,NA
"43","Beth Ballentine","center",3,"Author",315,368,0.461200585651537,"https://www.allsides.com/news-source/beth-ballentine","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"44","Better Angels","allsides",NA,"News Media",0,0,NA,"https://www.allsides.com/news-source/better-angels-media-bias","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"45","Billy Binion","center",3,"Author",214,164,0.566137566137566,"https://www.allsides.com/news-source/billy-binion","0",0,0,1,"Medium",NA,NA,NA,NA
"46","Bloomberg","center",3,"News Media",6430,7570,0.459285714285714,"https://www.allsides.com/news-source/bloomberg-media-bias","0",1,0,1,"Medium","https://twitter.com/business","https://en.wikipedia.org/wiki/Bloomberg_News","https://www.facebook.com/bloombergbusiness/","business"
"47","Blue Virginia","left",1,"News Media",635,456,0.582034830430797,"https://www.allsides.com/news-source/blue-virginia","checked",0,0,0,NA,NA,NA,NA,NA
"48","Bob Gorrell (cartoonist)","right",5,"Author",217,170,0.560723514211886,"https://www.allsides.com/news-source/bob-gorrell-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"49","Boing Boing","left",1,"News Media",763,490,0.608938547486033,"https://www.allsides.com/news-source/boing-boing","0",0,0,0,"Low or Initial Rating","https://twitter.com/boingboing","http://en.wikipedia.org/wiki/Boing_Boing","https://www.facebook.com/boingboing","boingboing"
"50","Boston Herald","right-center",4,"News Media",290,256,0.531135531135531,"https://www.allsides.com/news-source/boston-herald-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"51","Boston Herald Editorial","right-center",4,"News Media",155,142,0.521885521885522,"https://www.allsides.com/news-source/boston-herald-editorial-media-bias","1",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"52","Bowling Green Daily News","left-center",2,"News Media",499,543,0.478886756238004,"https://www.allsides.com/news-source/bowling-green-daily-news","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"53","Breitbart News","right",5,"News Media",17019,8114,0.67715752198305,"https://www.allsides.com/news-source/breitbart","0",1,0,1,"High","https://twitter.com/BreitbartNews","https://en.wikipedia.org/wiki/Breitbart_News","https://www.facebook.com/Breitbart/","BreitbartNews"
"54","Brent Bozell","right",5,"Author",251,222,0.530655391120507,"https://www.allsides.com/news-source/brent-bozell","0",0,0,1,"High",NA,NA,NA,NA
"55","Bret Stephens","right-center",4,"Author",215,270,0.443298969072165,"https://www.allsides.com/news-source/bret-stephens","0",0,0,0,NA,NA,NA,NA,NA
"56","Brookings Institution","center",3,"Think Tank / Policy Group",2222,1459,0.603640315131758,"https://www.allsides.com/news-source/brookings-institute","0",0,0,0,NA,NA,NA,NA,NA
"57","Business Insider","center",3,"News Media",1886,2155,0.466716159366493,"https://www.allsides.com/news-source/business-insider","0",0,0,0,NA,"https://twitter.com/businessinsider","https://en.wikipedia.org/wiki/Business_Insider","http://www.facebook.com/businessinsider","businessinsider"
"58","Bustle","left-center",2,"News Media",675,691,0.494143484626647,"https://www.allsides.com/news-source/bustle","0",0,0,1,"Low or Initial Rating","https://twitter.com/bustle",NA,"https://www.facebook.com/bustledotcom/","bustle"
"59","BuzzFeed News","left",1,"News Media",6106,6551,0.482420794817097,"https://www.allsides.com/news-source/buzzfeed-media-bias","1",0,1,1,"Medium",NA,"https://en.wikipedia.org/wiki/BuzzFeed_News",NA,NA
"60","C-SPAN","center",3,"News Media",2719,810,0.770473221875886,"https://www.allsides.com/news-source/c-span","0",0,0,1,"Medium","https://twitter.com/@cspan","https://en.wikipedia.org/wiki/C-SPAN","https://www.facebook.com/CSPAN","cspan"
"61","CalMatters","center",3,"News Media",575,455,0.558252427184466,"https://www.allsides.com/news-source/calmatters","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"62","CalWatchdog","center",3,"News Media",446,471,0.486368593238822,"https://www.allsides.com/news-source/calwatchdog","0",0,0,1,"Medium",NA,NA,NA,NA
"63","Care 2","left",1,"News Media",491,525,0.483267716535433,"https://www.allsides.com/news-source/care-2","0",0,0,1,NA,NA,NA,NA,NA
"64","Carnegie Endowment for International Peace","center",3,"Think Tank / Policy Group",385,303,0.559593023255814,"https://www.allsides.com/news-source/carnegie-endowment-international-peace","0",0,1,0,NA,NA,NA,NA,NA
"65","Carrie Lukas","right",5,"Author",193,153,0.557803468208092,"https://www.allsides.com/news-source/carrie-lukas","checked",0,0,0,NA,NA,NA,NA,NA
"66","Cathy Young","right-center",4,"Author",11,17,0.392857142857143,"https://www.allsides.com/news-source/cathy-young-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"67","Cato Institute (blog)","right-center",4,"Think Tank / Policy Group",899,1367,0.396734333627538,"https://www.allsides.com/news-source/cato-institute","0",0,0,0,NA,NA,NA,NA,NA
"68","CBN","right",5,"News Media",6333,3314,0.656473515082409,"https://www.allsides.com/news-source/cbn","0",0,0,1,"Medium","https://twitter.com/CBNNews?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://en.wikipedia.org/wiki/Christian_Broadcasting_Network","https://www.facebook.com/cbnonline","CBNNews"
"69","CBS News","left-center",2,"News Media",6905,5391,0.561564736499675,"https://www.allsides.com/news-source/cbs-news-media-bias","0",1,0,1,"Low or Initial Rating","https://twitter.com/@CBSNews","https://en.wikipedia.org/wiki/CBS_News","https://www.facebook.com/CBSNews/","CBSNews"
"70","Center - Major Media Sources","center",3,"News Media",564,477,0.54178674351585,"https://www.allsides.com/news-source/center-major-media-sources","checked",0,0,0,NA,NA,NA,NA,NA
"71","Center For American Progress","left-center",2,"Think Tank / Policy Group",879,1294,0.404509894155545,"https://www.allsides.com/news-source/center-american-progress","0",0,0,0,NA,"https://twitter.com/amprog","https://en.wikipedia.org/wiki/Center_for_American_Progress","https://www.facebook.com/americanprogress","amprog"
"72","Center for Media & Democracy PR Watch","left-center",2,"Think Tank / Policy Group",217,214,0.503480278422274,"https://www.allsides.com/news-source/center-media-democracy-pr-watch","0",0,0,0,NA,NA,NA,NA,NA
"73","Center for Public Integrity","left-center",2,"News Media",577,648,0.471020408163265,"https://www.allsides.com/news-source/center-public-integrity","checked",0,0,0,NA,"https://twitter.com/Publici","https://en.wikipedia.org/wiki/Center_for_Public_Integrity","https://www.facebook.com/publici/","Publici"
"74","Center for Strategic and Budgetary Assessments","right-center",4,"Think Tank / Policy Group",344,418,0.451443569553806,"https://www.allsides.com/news-source/cent-strategic-and-budgetary-assessments","0",0,0,0,NA,NA,NA,NA,NA
"75","Center on Budget and Policy Priorities","left",1,"Think Tank / Policy Group",685,607,0.530185758513932,"https://www.allsides.com/news-source/center-budget-and-policy-priorities-0","0",0,0,0,NA,NA,NA,NA,NA
"76","Centre View","left-center",2,"News Media",460,524,0.467479674796748,"https://www.allsides.com/news-source/centre-view","checked",0,0,0,NA,NA,NA,NA,NA
"77","Chan Lowe (cartoonist)","left",1,"Author",152,180,0.457831325301205,"https://www.allsides.com/news-source/chan-lowe-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"78","Charles Blow","left-center",2,"Author",206,211,0.49400479616307,"https://www.allsides.com/news-source/charles-blow","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"79","Charles Krauthammer","right-center",4,"Author",549,516,0.515492957746479,"https://www.allsides.com/news-source/charles-krauthammer","0",0,0,1,NA,NA,NA,NA,NA
"80","Charlie Kirk","right",5,"Author",32,15,0.680851063829787,"https://www.allsides.com/news-source/charlie-kirk-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"81","Chicago Sun-Times","left-center",2,"News Media",632,627,0.50198570293884,"https://www.allsides.com/news-source/chicago-sun-times","0",0,0,1,"Medium",NA,"https://en.wikipedia.org/wiki/Chicago_Sun-Times",NA,NA
"82","Chicago Tribune","center",3,"News Media",1753,3167,0.35630081300813,"https://www.allsides.com/news-source/chicago-tribune","0",0,0,1,"Low or Initial Rating","https://twitter.com/@crepeau","https://en.wikipedia.org/wiki/Chicago_Tribune","https://www.facebook.com/chicagotribune","crepeau"
"83","Children’s Defense Fund","left",1,"Think Tank / Policy Group",195,214,0.476772616136919,"https://www.allsides.com/news-source/childrens-defense-fund","0",0,0,0,NA,NA,NA,NA,NA
"84","Chip Bok (cartoonist)","right",5,"Author",156,145,0.518272425249169,"https://www.allsides.com/news-source/chip-bok-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"85","Chris Britt (cartoonist)","center",3,"Author",148,84,0.637931034482759,"https://www.allsides.com/news-source/chris-britt-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"86","Chris Ruddy","right",5,"Author",147,213,0.408333333333333,"https://www.allsides.com/news-source/chris-ruddy","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"87","Christian Science Monitor","center",3,"News Media",9130,12033,0.431413315692482,"https://www.allsides.com/news-source/christian-science-monitor","0",0,0,1,"High","https://twitter.com/csmonitor?","https://en.wikipedia.org/wiki/The_Christian_Science_Monitor","https://www.facebook.com/ChristianScienceMonitor/","csmonitor"
"88","Christiane Amanpour","left-center",2,"Author",317,409,0.4366391184573,"https://www.allsides.com/news-source/christiane-amanpour","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"89","Christopher Buskirk","right-center",4,"Author",60,55,0.521739130434783,"https://www.allsides.com/news-source/christopher-buskirk-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"90","Chuck Asay (cartoonist)","right",5,"Author",181,151,0.545180722891566,"https://www.allsides.com/news-source/chuck-asay-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"91","City Journal","right",5,"News Media",236,187,0.557919621749409,"https://www.allsides.com/news-source/city-journal-media-bias","0",0,0,0,"Low or Initial Rating","https://twitter.com/cityjournal","https://en.wikipedia.org/wiki/City_Journal_(New_York_City)","https://www.facebook.com/CityJournal","cityjournal"
"92","CivilPolitics.org","center",3,"Think Tank / Policy Group",211,210,0.501187648456057,"https://www.allsides.com/news-source/civilpoliticsorg","0",0,0,1,NA,NA,NA,NA,NA
"93","Clay Bennett (cartoonist)","left",1,"Author",125,93,0.573394495412844,"https://www.allsides.com/news-source/clay-bennett-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"94","CNBC","center",3,"News Media",1564,3975,0.282361437082506,"https://www.allsides.com/news-source/cnbc","0",0,0,1,"Low or Initial Rating","https://twitter.com/CNBC","https://en.wikipedia.org/wiki/CNBC","https://www.facebook.com/cnbc","CNBC"
"95","CNET","center",3,"News Media",154,136,0.531034482758621,"https://www.allsides.com/news-source/cnet","0",0,0,0,NA,"https://twitter.com/CNET","https://en.wikipedia.org/wiki/CNET","https://www.facebook.com/cnet/","CNET"
"96","CNN (Web News)","left-center",2,"News Media",27746,28952,0.489364704222371,"https://www.allsides.com/news-source/cnn-media-bias","1",1,1,1,"High","https://twitter.com/@CNN","https://en.wikipedia.org/wiki/CNN","https://facebook.com/cnn","CNN"
"97","CNN - Editorial","left",1,"News Media",8433,2395,0.778814185445142,"https://www.allsides.com/news-source/cnn-editorial","1",0,0,1,"Medium","https://twitter.com/@CNN","https://en.wikipedia.org/wiki/CNN","https://facebook.com/cnn","CNN"
"98","CNS News","right",5,"News Media",829,686,0.547194719471947,"https://www.allsides.com/news-source/cns-news","0",0,0,0,"Low or Initial Rating","https://twitter.com/cnsnews","https://en.wikipedia.org/wiki/CNS_News","https://www.facebook.com/cnsnewscom","cnsnews"
"99","CNSNews.com","right",5,"News Media",749,639,0.539625360230548,"https://www.allsides.com/news-source/cnsnewscom","0",0,0,1,"Low or Initial Rating","https://twitter.com/cnsnews","https://en.wikipedia.org/wiki/CNS_News","https://www.facebook.com/cnsnewscom","cnsnews"
"100","Columbia Journalism Review","center",3,"News Media",102,210,0.326923076923077,"https://www.allsides.com/news-source/columbia-journalism-review","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"101","Commentary Magazine","right",5,"News Media",128,132,0.492307692307692,"https://www.allsides.com/news-source/commentary-magazine-media-bias","0",0,0,1,"Low or Initial Rating","https://twitter.com/Commentary/","https://en.wikipedia.org/wiki/Commentary_(magazine)","https://www.facebook.com/commentarymagazine/","Commentary"
"102","Conor Friedersdorf","center",3,"Author",12,16,0.428571428571429,"https://www.allsides.com/news-source/conor-friedersdorf-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"103","Conservative HQ","right",5,"News Media",740,327,0.693533270852858,"https://www.allsides.com/news-source/conservative-hq","0",0,0,1,"Low or Initial Rating","https://twitter.com/RichardViguerie","https://en.wikipedia.org/wiki/Richard_Viguerie","https://www.facebook.com/ConservativeHQ","RichardViguerie"
"104","Cook Report","center",3,"News Media",811,490,0.62336664104535,"https://www.allsides.com/news-source/cook-report","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"105","Council on Foreign Relations","left",1,"Think Tank / Policy Group",111,156,0.415730337078652,"https://www.allsides.com/news-source/council-foreign-relations-0","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"106","Countable","center",3,"News Media",23,25,0.479166666666667,"https://www.allsides.com/news-source/countable-media-bias","0",0,0,1,"High",NA,NA,NA,NA
"107","Counter Currents","left-center",2,"News Media",289,200,0.591002044989775,"https://www.allsides.com/news-source/counter-currents","0",0,0,1,"Low or Initial Rating","https://twitter.com/countercurrents",NA,"https://www.facebook.com/countercurrents/","countercurrents"
"108","Counterpointing","allsides",NA,"News Media",328,313,0.511700468018721,"https://www.allsides.com/news-source/counterpointing","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"109","CrowdPAC","center",3,"News Media",341,356,0.489239598278336,"https://www.allsides.com/news-source/crowdpac","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"110","CU Independent","center",3,"News Media",278,342,0.448387096774194,"https://www.allsides.com/news-source/cu-independent","0",0,0,1,"Low or Initial Rating",NA,"https://en.wikipedia.org/wiki/CU_Independent",NA,NA
"111","Current Affairs","left",1,"News Media",206,79,0.72280701754386,"https://www.allsides.com/news-source/current-affairs-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"112","Daily Beast","left",1,"News Media",7713,4241,0.645223356198762,"https://www.allsides.com/news-source/daily-beast-media-bias","1",1,0,0,NA,"https://twitter.com/@thedailybeast","https://en.wikipedia.org/wiki/The_Daily_Beast","https://www.facebook.com/thedailybeast/","thedailybeast"
"113","Daily Cardinal","center",3,"News Media",339,362,0.483594864479315,"https://www.allsides.com/news-source/daily-cardinal","0",0,0,1,"Low or Initial Rating","https://twitter.com/dailycardinal","https://en.wikipedia.org/wiki/The_Daily_Cardinal","https://www.facebook.com/The-Daily-Cardinal-67904168706/?ref=br_rs","dailycardinal"
"114","Daily Kos","left",1,"News Media",5243,1937,0.730222841225627,"https://www.allsides.com/news-source/daily-kos","0",0,0,0,"Low or Initial Rating","https://twitter.com/@Devilstower","https://en.wikipedia.org/wiki/Daily_Kos","https://www.facebook.com/dailykos/","Devilstower"
"115","Daily Mail","right",5,"News Media",2470,1841,0.572952911157504,"https://www.allsides.com/news-source/daily-mail","0",0,0,1,"Medium","https://twitter.com/@RE_DailyMail","https://en.wikipedia.org/wiki/Daily_Mail
","https://www.facebook.com/DailyMail","RE_DailyMail"
"116","Daily Northwestern","left-center",2,"News Media",307,320,0.4896331738437,"https://www.allsides.com/news-source/daily-northwestern","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"117","Daily Press","right-center",4,"News Media",287,385,0.427083333333333,"https://www.allsides.com/news-source/daily-press","0",0,0,1,"Low or Initial Rating","https://twitter.com/Daily_Press","https://en.wikipedia.org/wiki/Daily_Press_(Virginia)","https://www.facebook.com/dailypressnews/","Daily_Press"
"118","Daily Progress","center",3,"News Media",352,341,0.507936507936508,"https://www.allsides.com/news-source/daily-progress","checked",0,0,0,NA,NA,"https://en.wikipedia.org/wiki/The_Daily_Progress",NA,NA
"119","Daily Targum","left-center",2,"News Media",195,335,0.367924528301887,"https://www.allsides.com/news-source/daily-targum","0",0,0,1,"Low or Initial Rating",NA,"https://en.wikipedia.org/wiki/The_Daily_Targum",NA,NA
"120","Damon Linker","left-center",2,"Author",221,237,0.482532751091703,"https://www.allsides.com/news-source/damon-linker","0",0,0,1,"Medium",NA,NA,NA,NA
"121","Dan Lucas","right",5,"Author",69,51,0.575,"https://www.allsides.com/news-source/dan-lucas","0",0,0,0,NA,NA,NA,NA,NA
"122","Dan Wasserman (cartoonist)","left",1,"Author",52,22,0.702702702702703,"https://www.allsides.com/news-source/dan-wasserman-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"123","Dana Milbank","center",3,"Author",166,265,0.385150812064965,"https://www.allsides.com/news-source/dana-milbank","checked",0,0,0,NA,NA,NA,NA,NA
"124","Dana Summers (cartoonist)","right-center",4,"Author",85,86,0.497076023391813,"https://www.allsides.com/news-source/dana-summers-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"125","David Brooks","right-center",4,"Author",249,314,0.442273534635879,"https://www.allsides.com/news-source/david-brooks","0",0,0,1,"Medium",NA,NA,NA,NA
"126","David Holmes","left-center",2,"Author",63,52,0.547826086956522,"https://www.allsides.com/news-source/david-holmes","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"127","David Ignatius","center",3,"Author",111,142,0.438735177865613,"https://www.allsides.com/news-source/david-ignatius","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"128","David Leonhardt","left-center",2,"Author",70,57,0.551181102362205,"https://www.allsides.com/news-source/david-leonhardt","0",0,0,0,NA,NA,NA,NA,NA
"129","Debra Saunders","right",5,"Author",128,107,0.54468085106383,"https://www.allsides.com/news-source/debra-saunders","checked",0,0,0,NA,NA,NA,NA,NA
"130","Defense One","center",3,"News Media",156,147,0.514851485148515,"https://www.allsides.com/news-source/defense-one-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"131","Democracy Now","left",1,"News Media",5405,1833,0.746753246753247,"https://www.allsides.com/news-source/democracy-now","0",0,0,1,"Low or Initial Rating","https://twitter.com/DemocracyNow","https://en.wikipedia.org/wiki/Democracy_Now!","https://www.facebook.com/democracynow","DemocracyNow"
"132","Deseret News","right-center",4,"News Media",1037,1685,0.380969875091844,"https://www.allsides.com/news-source/deseret-news","0",0,0,1,"Low or Initial Rating","https://twitter.com/DeseretNews?ref_src=twsrcgoogletwcampserptwgrauthor","https://en.wikipedia.org/wiki/Deseret_News","https://www.facebook.com/deseretnews/","DeseretNews"
"133","Dick Locher (cartoonist)","right",5,"Author",19,44,0.301587301587302,"https://www.allsides.com/news-source/dick-locher-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"134","Dick Morris","right-center",4,"Author",149,204,0.422096317280453,"https://www.allsides.com/news-source/dick-morris","checked",0,0,0,NA,NA,NA,NA,NA
