title;author;published_date;published_date_precision;link;clean_url;excerpt;summary;rights;rank;topic;country;language;authors;media;is_opinion;twitter_account;_score;_id
Inside the growing Republican fissure on Ukraine aid;Yasmeen Abutaleb;2022-11-01 00:05:06;full;https://www.washingtonpost.com/politics/2022/10/31/republican-split-on-ukraine-aid/;washingtonpost.com;At first, Republicans enthusiastically supported aid to Kyiv. Now, some want to cut it. Inside the internal GOP fissure over helping Ukraine.;In Ohio, Senate candidate J.D. Vance (R) said the United States would have to 'stop the money spigot to Ukraine eventually.' J.R. Majewski, a fellow Ohio Republican running for a House seat, has criticized President Biden for '[cutting] billion-dollar checks to Ukraine' during a time of inflation at home. In New Hampshire, Senate candidate Don Bolduc (R) said U.S. aid to Ukraine is 'money we don't have.'Opposition to — or skepticism of — sending more U.S. money to Ukraine has accelerated within the GOP in recent weeks, with House Minority Leader Kevin McCarthy (R-Calif.;washingtonpost.com;83;politics;US;en;John Hudson,Yasmeen Abutaleb;https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/RFMBHYT37F5VFHZVCNVGAUM2BE.JPG&w=1440;False;@WashingtonPost;;f825915a2d60140d7f0eb8c3a9ce9aef
Scientists: Maybe intelligence isn't the end goal of AI;"Jazz Shaw
8:01 PM on";2022-11-01 00:01:25;full;https://hotair.com/jazz-shaw/2022/10/31/scientists-maybe-intelligence-isnt-the-end-goal-of-ai-n507009;hotair.com;The field of Artificial Intelligence is still one of the faster-growing aspects of technological development. AI is showing up all over the place, driving robots that replace some human workers and…;The field of Artificial Intelligence is still one of the faster-growing aspects of technological development. AI is showing up all over the place, driving robots that replace some human workers and allowing for breakthroughs in everything from DNA research to online security. But ever since this technology picked up a head of steam in terms of real-world applications, one question has always lurked in the background. When will AI actually be 'intelligent' in the same way that the human brain operates? (Or at least some human brains these days, anyway.;hotair.com;7922;politics;US;en;"Jazz Shaw,Jazz Shaw
8:01 PM on,Pj Media";https://media.townhall.com/townhall/reu/o/2020/149/d2cffef2-9f7a-4b1a-ac47-e0cbb4fd9308-1110x740.png;False;@hotairblog;;ead4c00f0fcddf4addefe850283cd7d3
'Pervert' teacher, perhaps still under investigation for allegedly sexually harassing students at NYC high school, changes name and now teaches at another area school;Cortney Weil;2022-10-31 23:56:00;full;https://www.theblaze.com/news/pervert-teacher-perhaps-still-under-investigation-for-allegedly-sexually-harassing-students-at-nyc-high-school-changes-name-and-now-teaches-at-another-area-school;theblaze.com;[rebelmouse-proxy-image…;;conservativereview.com;3095;politics;US;en;Cortney Weil;https://assets.rebelmouse.io/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpbWFnZSI6Imh0dHBzOi8vYXNzZXRzLnJibC5tcy8zMjAyNDg3Ny9vcmlnaW4uanBnIiwiZXhwaXJlc19hdCI6MTcxODExOTU4MX0.8CKo69iKo3ZL55cqSW_Au6oSJwdZjTpIENFFtf6FJRY/img.jpg?width=1200&height=600&coordinates=0%2C97%2C0%2C153;False;@;;b8048e0467fb008b293b95a74118a24d
As Democrats Warn About the GOP 'Stealing' Elections, They Continue Their Push to Let Non-Citizens Vote;Mike Miller;2022-10-31 23:45:36;full;https://redstate.com/mike_miller/2022/10/31/as-democrats-warn-about-the-gop-stealing-elections-they-continue-their-push-to-let-non-citizens-vote-n651991;redstate.com;"Before we begin, let's establish reality. The Democrat Party is not only the most dishonest organization on the planet; Democrats' ability to lie with impunity is matched only by the heigh...";"Before we begin, let's establish reality. The Democrat Party is not only the most dishonest organization on the planet; Democrats' ability to lie with impunity is matched only by the height of their hypocrisy, which knows no bounds. This reality is most manifested in their warnings about the GOP 'stealing' elections. A recent glaring example came from none other than long-irrelevant Hillary Clinton, who desperately clings to the silly notion that she is still relevant and that Democrats hang on her every (lying) word.";redstate.com;5189;politics;US;en;Mike Miller,Pj Media;https://media.townhall.com/townhall/reu/o/2018/310/07c21360-5810-4dd0-95b1-2c85c4454fd5-1110x740.jpg;False;@RedState;;50b68ba0d864d8161662937b77317100
"Ballot returns lagging in Gallatin County; senators prod USPS to solve delivery problems";Alex Miller;2022-10-31 23:45:00;timezone unknown;https://www.bozemandailychronicle.com/news/politics/ballot-returns-lagging-in-gallatin-county-senators-prod-usps-to-solve-delivery-problems/article_fd411004-593c-11ed-890e-734d98f527ee.html;bozemandailychronicle.com;Absentee ballot returns are lagging in Gallatin County with Election Day fast approaching.;"Get any of our free daily email newsletters — news headlines, opinion, e-edition, obituaries and more. 
 If you value these stories, please consider subscribing. 
 Alex can be reached at 406-582-2468 or at amiller@dailychronicle.com Subscribers get full, survey-free access to the Bozeman Daily Chronicle's award-winning coverage both on our website and in our e-edition, a digital replica of the print edition.";bozemandailychronicle.com;13081;politics;US;en;Alex Miller;https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/custom/image/c8a2e072-edea-11e4-8ae5-eb2fb5162d7a.png?resize=600%2C315;False;@bozchron;;4cf4abe4f840bd4d3f8c74773b3b8880
FACT CHECK: Did Ron DeSantis And Clarence Thomas Have Lunch The Day Before The Dobbs V. Jackson Decision?;Elias Atienza;2022-10-31 23:39:25;full;https://checkyourfact.com/2022/10/31/fact-check-desantis-thomas-dobbs/;checkyourfact.com;The two met a year before the decision;;conservativereview.com;85617;politics;US;en;Elias Atienza;https://www.conservativereview.com/media-library/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpbWFnZSI6Imh0dHBzOi8vYXNzZXRzLnJibC5tcy8yNDYzMDUzNS9vcmlnaW4uanBnIiwiZXhwaXJlc19hdCI6MTY3MjU5NTQzMn0.VapsDuTjsUjbp5KE2OWXb4PALcWTvgfxSo1ZVzjqlG4/image.jpg?width=210;False;@;;d2f9b43b701fb5fcb012cb0b7916721d
‘Caught Flatfooted': CNN Analyst Claims Dems Didn't Back ‘Defund The Police' Movement;Harold Hutchison;2022-10-31 23:36:18;full;https://dailycaller.com/2022/10/31/kirsten-powers-cnn-crime-democrats/;dailycaller.com;'Democrats have a pretty good record on crime';;conservativereview.com;2089;politics;US;en;Harold Hutchison;https://www.conservativereview.com/media-library/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpbWFnZSI6Imh0dHBzOi8vY2RuMDEuZGFpbHljYWxsZXIuY29tL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDIyLzEwL0RDTkYtUG93ZXJzLURlbXMtQ3JpbWUtRmVhdHVyZWQucG5nIiwiZXhwaXJlc19hdCI6MTcwMzIwMzQxN30.fNm6ECOz3sYJ2NFgGui6kC0HpM7tCSom9_lcJ-KDEmo/image.png?width=2000&height=2000;False;@;;a522368b49a176230e7ccef381b1bc3e
Trump endorses Bolduc in last days before election as Hassan campaigns like a Republican;"Karen Townsend
7:31 PM on";2022-10-31 23:31:33;full;https://hotair.com/karen-townsend/2022/10/31/trump-endorses-bolduc-in-last-days-before-election-as-hassan-campaigns-like-a-republican-n507012;hotair.com;Criticized him for walking back his rhetoric on 2020 election;It's eight days before the 2022 midterm election and Donald Trump announced his endorsement for Don Bolduc in New Hampshire. Bolduc, a Republican, is running against the Democrat incumbent Senator Maggie Hassan. A flip of this seat could mean Republicans control the majority in the Senate. Has Trump figured out that sometimes he has to put his own ego aside and do what is best for the Republican Party (and the country)? Trump puts everything on loyalty to him and anyone saying anything about the 2020 presidential election had better be on the same page.;hotair.com;7922;politics;US;en;"Karen Townsend,Karen Townsend
7:31 PM on,Pj Media";https://media.townhall.com/townhall/reu/o/2016/111/3b825e54-aea1-4d11-92bc-ccd7ab213699-1110x740.jpg;False;@hotairblog;;a909615c2af1e416ae2f9ef027256773
Democrats Use the Addicted and Marginalized for Their Political Ends, Then Discard Them;Jennifer Oliver O'Connell;2022-10-31 23:30:09;full;https://redstate.com/jenniferoo/2022/10/31/democrats-use-the-addicted-and-marginalized-for-their-political-ends-then-discard-them-n651487;redstate.com;As theories continue to abound about the Paul Pelosi attack, David DePape could well have been just a useful pawn.;"There are still many questions surrounding the attack on Paul Pelosi, this despite the release of the criminal complaint against alleged attacker David DePape.
It states DePape told officers he intended to take Nancy Pelosi hostage (constituting federal charges) and described her as the '‘leader of the pack' of lies told by the Democratic Party.'
DePape told officers he wanted to talk to Nancy and if she were to tell him the 'truth' he would let her go, but if she 'lied' he intended to break 'her kneecaps.";redstate.com;5189;politics;US;en;Jennifer Oliver O'Connell,Pj Media;https://media.townhall.com/townhall/reu/o/2022/304/c715d171-96f2-4312-8add-f2011aed1783-1110x740.png;False;@RedState;;f26dd421d519927b68afdcfd74e1b735
John Fetterman Declares Himself 'Fit to Be Serve' and I Have Thoughts;Sister Toldjah;2022-10-31 23:15:54;full;https://redstate.com/sister-toldjah/2022/10/31/john-fetterman-declares-himself-fit-to-be-serve-and-i-have-thoughts-n652179;redstate.com;Is he or isn't he?;With a week to go before Election Day and the race tightening, Pennsylvania Democratic Senate nominee John Fetterman is continuing to get peppered with questions from the press about his fitness to lead, with media requests for the release of more up-to-date medical records being denied each time the issue is brought up to either him or his campaign staff. A recent interview Fetterman did with the Lancaster, PA-based WGAL news outlet was no exception to the rule. During a back-and-forth exchange with reporter Barbara Barr where he was asked if he would 'consider releasing a full medical record list,' Fetterman again falsely claimed that he had 'tried to be very transparent' with the press and the public on his health status after the stroke he suffered in May.;redstate.com;5189;politics;US;en;Pj Media,Sister Toldjah;https://media.townhall.com/townhall/reu/o/2022/290/9056b9a6-87e4-4f4d-8642-2e8a52565316-1110x740.png;False;@RedState;;300a650022269bf2ced922b4150f9190
Secretary of State calls election secure, accessible ahead of midterms;Grace McKenna;2022-10-31 23:15:00;timezone unknown;https://www.whas11.com/article/news/politics/kentucky-secretary-of-state-michael-adams-midterms-elections-voter/417-c557c3ec-0546-492e-809a-0ec7e6fa3444;whas11.com;WHAS11 sat down with Kentucky's chief election official, Secretary of State Michael Adams, to talk about voter registration, turnout and election security.;"LOUISVILLE, Ky. — Tuesday will mark one week from the 2022 midterm elections. Ahead of the election, Kentucky Secretary of State Michael Adams said voter registration numbers are encouraging.  ""For the first two years of my term voter registration really flatlined because of COVID,"" Adams said. ""Fortunately with that really in the rearview mirror we've seen that re-start.""  Adams said Kentucky registered 10,000 new voters in August and 20,000 in September. Both Democrats and Republicans had new registrants, with more Republicans.";whas11.com;13468;politics;US;en;Grace McKenna;https://media.whas11.com/assets/WHAS/images/deb0371d-15e6-4904-af53-7effb2947854/deb0371d-15e6-4904-af53-7effb2947854_1140x641.jpg;False;whas11;;9b9a1ee60d978effc10c119aee28c0af
Fourth open Scott Co. supervisor seat to be filled after midterm election;Sarah Watson;2022-10-31 23:15:00;timezone unknown;https://qctimes.com/news/local/govt-and-politics/elections/fourth-open-scott-co-supervisor-seat-to-be-filled-after-midterm-election/article_9cb5aed6-7d09-5669-aa9d-35eaa5f0dc36.html;qctimes.com;A fourth vacancy on the Scott County Board of Supervisors is likely, but it can't be filled just yet.;"Three seats are up for reelection on the Scott County Board of Supervisors this fall, and a fourth is likely to become vacant following the election. Scott County Supervisor Tony Knobbe is running unopposed for county treasurer. His seat on the county board isn't up until the 2024 election.When/if Knobbe is sworn in as treasurer in the first few days of January, his seat on the Board of Supervisors would be considered vacant  as ""holding both offices at the same time would be considered incompatible,"" Assistant Scott County Attorney Robert Cusack wrote in an email Monday.";qconline.com;7924;politics;US;en;Kevin E. Schmidt,Sarah Watson;https://bloximages.newyork1.vip.townnews.com/qconline.com/content/tncms/assets/v3/editorial/0/ca/0caf2900-4ccc-53eb-bfa7-71c6bfb61e6c/636041e406333.preview.jpg?crop=1712%2C899%2C0%2C156&resize=1200%2C630&order=crop%2Cresize;False;@dispatch_argus;;fa5154c4ec6305d5a98e7137b1d726cd
Early voting slows over Halloweekend, reaching 14% turnout 8 days before Election Day;Hannah Metzger;2022-10-31 23:15:00;timezone unknown;https://www.coloradopolitics.com/elections/early-voting-slows-over-halloweekend-reaching-14-turnout-8-days-before-election-day/article_d1ca20a0-5969-11ed-b08d-5b77b4ec32cd.html;coloradopolitics.com;With eight days left until Election Day, just over 14.1% of registered voters have returned their ballots for the November election, according to data released Monday from the Secretary of;With eight days left until Election Day, just over 14.1% of registered voters have returned their ballots for the November election, according to data released Monday from the Secretary of State's Office.As of 11:59 p.m. Sunday, 537,735 ballots have been turned in. That means around 94,800 ballots were returned over the weekend — a slower gain compared to the average of 90,300 ballots that were returned every day from Tuesday through Friday last week.At this point during the 2020 election, nearly 1.;coloradopolitics.com;27543;politics;US;en;Hannah Metzger,Marianne Goodland,Timothy Hurst;https://bloximages.newyork1.vip.townnews.com/coloradopolitics.com/content/tncms/assets/v3/editorial/d/f2/df24df27-eb35-5276-b728-0b8929db016f/62bb74b20be7c.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize;False;@colo_politics;;a0e34c7a2562792d49a0ce545a25fe71
Election conspiracy theorists jailed in Texas lawsuit;Juan A. Lozano;2022-10-31 23:15:00;timezone unknown;https://www.swoknews.com/ap/national/election-conspiracy-theorists-jailed-in-texas-lawsuit/article_2369608b-8f01-5b3a-8274-cc475f2fa200.html;swoknews.com;The leaders of a Texas-based group that has promoted election conspiracy theories and provided research for a widely debunked documentary that alleged widespread voter fraud in the 2020 election have;"Country

United States of America US Virgin Islands United States Minor Outlying Islands Canada Mexico, United Mexican States Bahamas, Commonwealth of the Cuba, Republic of Dominican Republic Haiti, Republic of Jamaica Afghanistan Albania, People's Socialist Republic of Algeria, People's Democratic Republic of American Samoa Andorra, Principality of Angola, Republic of Anguilla Antarctica (the territory South of 60 deg S) Antigua and Barbuda Argentina, Argentine Republic Armenia Aruba Australia,";swoknews.com;78446;politics;US;en;Associated Press,JUAN A. LOZANO;https://www.swoknews.com/content/tncms/site/icon.ico;False;@swoknews;;b2f0997a03d42d4655b727648018e5c9
Meet the Virginia Beach City Council candidates running for District 1, 2, 4 and 6;Allison Bazzle;2022-10-31 23:15:00;timezone unknown;https://www.13newsnow.com/article/news/politics/elections/virginia-beach-city-council-candidates-election-2022/291-ff181aa0-5dac-48c4-8b30-885b52c436ee;13newsnow.com;Election Day is next week and there are seven city council seats up for grabs in Virginia Beach.;VIRGINIA BEACH, Va. — Election Day is a week away and there are seven city council seats up for grabs in Virginia Beach. Four incumbents are running again for city council and 20 candidates are running in total. Rocky Holcomb is hoping to reclaim his seat, now named District 1. Last year, Councilwoman Jessica Abbott resigned from her position, and city leaders appointed Holcomb in the interim. Holcomb is a chief deputy at the Virginia Beach Sheriff's Office and a former state delegate. Holcomb said Virginia Beach is a safe large city, and he wants to help keep it that way.;13newsnow.com;11663;politics;US;en;Allison Bazzle;https://media.13newsnow.com/assets/WVEC/images/abd5c6f5-3365-4416-9d30-116fe805030c/abd5c6f5-3365-4416-9d30-116fe805030c_1140x641.jpg;False;13NewsNow;;e5c1f98bc46a0eb6e3bc69e9e94c5281
Bidens dole out Halloween candy to first responders' kids;Darlene Superville;2022-10-31 23:15:00;timezone unknown;https://www.goskagit.com/news/politics/bidens-dole-out-halloween-candy-to-first-responders-kids/article_8b397245-c67e-5385-8def-dde54fe899c0.html;goskagit.com;President Joe Biden and his wife, Jill, have doled out Halloween candy to trick-or-treaters dressed up as everything from Spider-Man to a flamingo to a monk to a zombie founding;"Country

United States of America US Virgin Islands United States Minor Outlying Islands Canada Mexico, United Mexican States Bahamas, Commonwealth of the Cuba, Republic of Dominican Republic Haiti, Republic of Jamaica Afghanistan Albania, People's Socialist Republic of Algeria, People's Democratic Republic of American Samoa Andorra, Principality of Angola, Republic of Anguilla Antarctica (the territory South of 60 deg S) Antigua and Barbuda Argentina, Argentine Republic Armenia Aruba Australia,";goskagit.com;31659;politics;US;en;Alex Brandon,Associated Press,DARLENE SUPERVILLE,Manuel Balce Ceneta;https://bloximages.chicago2.vip.townnews.com/goskagit.com/content/tncms/assets/v3/editorial/6/fc/6fc57024-82a2-5ff3-ba9b-f7b78b457d26/635ff5a46813b.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize;False;@goskagit;;1e4752929af63b31147cf5bd586f9632
Nevada treasurer candidates Zach Conine and Michele Fiore differ on gun-maker investments;Mark Robison;2022-10-31 23:09:36;full;https://www.rgj.com/story/news/politics/elections/2022/10/31/election-2022-nevada-treasurer-candidates-zach-conine-michele-fiore-clash-gun-maker-investments/10655912002/;rgj.com;Democrat incumbent Zach Conine seeks four more years as Nevada treasurer. He talks about gun manufacturer investments and the job's qualifications.;Democratic incumbent Zach Conine was supposed to debate Republican challenger Michele Fiore last week in a debate ahead of their race to be Nevada's treasurer for the next four years.Fiore was unable to attend due to illness, but with less than 24 hours' notice, the show went on with a solo appearance from Conine on 'Nevada Newsmakers.'Here's a look at two highlights from his interview with host Sam Shad and me, Mark Robison, the RGJ's local government reporter.Read more: Nevada to sell its assault weapon-linked financial assets in wake of latest mass shootingInvestments with gun-makersAt a Donald Trump 'Save America' rally earlier this month, Fiore criticized Conine for removing gun manufacturers from the state's investment portfolio.;rgj.com;6036;politics;US;en;Mark Robison,Reno Gazette Journal;https://www.gannett-cdn.com/presto/2022/10/24/PREN/72beed79-ae4b-4a7a-b30a-a2407e734805-Candidate_debate_Zach_Conine_4.jpg?auto=webp&crop=3974,2235,x0,y381&format=pjpg&width=1200;False;@rgj;;5041f80b59262fda248ef0a7a3a9931b
